genres,href,id,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
,https://api.spotify.com/v1/artists/2Ev0e8GUIX4u7d9etNLTXg,2Ev0e8GUIX4u7d9etNLTXg,,Jim Reeves,59,artist,spotify:artist:2Ev0e8GUIX4u7d9etNLTXg,https://open.spotify.com/artist/2Ev0e8GUIX4u7d9etNLTXg,NA,338650
,https://api.spotify.com/v1/artists/1B8n8vtEeexQ5NKehHTkeo,1B8n8vtEeexQ5NKehHTkeo,,Johnny Preston,36,artist,spotify:artist:1B8n8vtEeexQ5NKehHTkeo,https://open.spotify.com/artist/1B8n8vtEeexQ5NKehHTkeo,NA,15552
,https://api.spotify.com/v1/artists/55Rf9Kfqd30nmqaeEDMpic,55Rf9Kfqd30nmqaeEDMpic,,Mark Dinning,27,artist,spotify:artist:55Rf9Kfqd30nmqaeEDMpic,https://open.spotify.com/artist/55Rf9Kfqd30nmqaeEDMpic,NA,1557
,https://api.spotify.com/v1/artists/7ydcRbgt0yM9etADb1Ackp,7ydcRbgt0yM9etADb1Ackp,,Jimmy Jones,33,artist,spotify:artist:7ydcRbgt0yM9etADb1Ackp,https://open.spotify.com/artist/7ydcRbgt0yM9etADb1Ackp,NA,7568
,https://api.spotify.com/v1/artists/43ZHCT0cAZBISjO8DG9PnE,43ZHCT0cAZBISjO8DG9PnE,,Elvis Presley,79,artist,spotify:artist:43ZHCT0cAZBISjO8DG9PnE,https://open.spotify.com/artist/43ZHCT0cAZBISjO8DG9PnE,NA,6445828
,https://api.spotify.com/v1/artists/3EY5DxGdy7x4GelivOjS2Q,3EY5DxGdy7x4GelivOjS2Q,,Connie Francis,58,artist,spotify:artist:3EY5DxGdy7x4GelivOjS2Q,https://open.spotify.com/artist/3EY5DxGdy7x4GelivOjS2Q,NA,330905
,https://api.spotify.com/v1/artists/0nd3tsqHVtnAWBCQgwtbIz,0nd3tsqHVtnAWBCQgwtbIz,,The Brothers Four,48,artist,spotify:artist:0nd3tsqHVtnAWBCQgwtbIz,https://open.spotify.com/artist/0nd3tsqHVtnAWBCQgwtbIz,NA,50243
,https://api.spotify.com/v1/artists/4ucP0bNegd7Q4ewdOKIBfz,4ucP0bNegd7Q4ewdOKIBfz,,Jack Scott,35,artist,spotify:artist:4ucP0bNegd7Q4ewdOKIBfz,https://open.spotify.com/artist/4ucP0bNegd7Q4ewdOKIBfz,NA,12772
,https://api.spotify.com/v1/artists/0Xi59sEw38vRvwleSAVqoo,0Xi59sEw38vRvwleSAVqoo,,Marty Robbins,64,artist,spotify:artist:0Xi59sEw38vRvwleSAVqoo,https://open.spotify.com/artist/0Xi59sEw38vRvwleSAVqoo,NA,376619
,https://api.spotify.com/v1/artists/5dg9jB2sji4asJtjihC9AE,5dg9jB2sji4asJtjihC9AE,,Connie Stevens,30,artist,spotify:artist:5dg9jB2sji4asJtjihC9AE,https://open.spotify.com/artist/5dg9jB2sji4asJtjihC9AE,NA,10378
,https://api.spotify.com/v1/artists/7ceUfdWq2t5nbatS6ollHh,7ceUfdWq2t5nbatS6ollHh,,Paul Anka,65,artist,spotify:artist:7ceUfdWq2t5nbatS6ollHh,https://open.spotify.com/artist/7ceUfdWq2t5nbatS6ollHh,NA,537883
,https://api.spotify.com/v1/artists/5zNOI87gG4RttFmYAZWaxQ,5zNOI87gG4RttFmYAZWaxQ,,Frankie Avalon,48,artist,spotify:artist:5zNOI87gG4RttFmYAZWaxQ,https://open.spotify.com/artist/5zNOI87gG4RttFmYAZWaxQ,NA,123792
,https://api.spotify.com/v1/artists/1bBZcz4jP7CoPlqpCFh4gz,1bBZcz4jP7CoPlqpCFh4gz,,Johnny Horton,53,artist,spotify:artist:1bBZcz4jP7CoPlqpCFh4gz,https://open.spotify.com/artist/1bBZcz4jP7CoPlqpCFh4gz,NA,163507
,https://api.spotify.com/v1/artists/6hnWRPzGGKiapVX1UCdEAC,6hnWRPzGGKiapVX1UCdEAC,,Sam Cooke,70,artist,spotify:artist:6hnWRPzGGKiapVX1UCdEAC,https://open.spotify.com/artist/6hnWRPzGGKiapVX1UCdEAC,NA,1333246
,https://api.spotify.com/v1/artists/2kuNswDC82PL9xRbfaZJaS,2kuNswDC82PL9xRbfaZJaS,,The Association,51,artist,spotify:artist:2kuNswDC82PL9xRbfaZJaS,https://open.spotify.com/artist/2kuNswDC82PL9xRbfaZJaS,NA,190393
,https://api.spotify.com/v1/artists/4ACplpEqD6JIVgKrafauzs,4ACplpEqD6JIVgKrafauzs,,The Everly Brothers,64,artist,spotify:artist:4ACplpEqD6JIVgKrafauzs,https://open.spotify.com/artist/4ACplpEqD6JIVgKrafauzs,NA,664100
,https://api.spotify.com/v1/artists/0EodhzA6yW1bIdD5B4tcmJ,0EodhzA6yW1bIdD5B4tcmJ,,Bobby Darin,65,artist,spotify:artist:0EodhzA6yW1bIdD5B4tcmJ,https://open.spotify.com/artist/0EodhzA6yW1bIdD5B4tcmJ,NA,434678
,https://api.spotify.com/v1/artists/4VnomLtKTm9Ahe1tZfmZju,4VnomLtKTm9Ahe1tZfmZju,,Jackie Wilson,64,artist,spotify:artist:4VnomLtKTm9Ahe1tZfmZju,https://open.spotify.com/artist/4VnomLtKTm9Ahe1tZfmZju,NA,365721
,https://api.spotify.com/v1/artists/5pEtyfC9ZeFGakgX4hjhaG,5pEtyfC9ZeFGakgX4hjhaG,,Toni Fisher,22,artist,spotify:artist:5pEtyfC9ZeFGakgX4hjhaG,https://open.spotify.com/artist/5pEtyfC9ZeFGakgX4hjhaG,NA,294
,https://api.spotify.com/v1/artists/7gi3jmwpUpNWdswT8eEprF,7gi3jmwpUpNWdswT8eEprF,,Conway Twitty,63,artist,spotify:artist:7gi3jmwpUpNWdswT8eEprF,https://open.spotify.com/artist/7gi3jmwpUpNWdswT8eEprF,NA,668040
,https://api.spotify.com/v1/artists/271pvVqDFiREx6PqzwOX8p,271pvVqDFiREx6PqzwOX8p,,Steve Lawrence,44,artist,spotify:artist:271pvVqDFiREx6PqzwOX8p,https://open.spotify.com/artist/271pvVqDFiREx6PqzwOX8p,NA,44617
,https://api.spotify.com/v1/artists/1ffNa7yLg0ncUpBm5P03pm,1ffNa7yLg0ncUpBm5P03pm,,Freddy Cannon,35,artist,spotify:artist:1ffNa7yLg0ncUpBm5P03pm,https://open.spotify.com/artist/1ffNa7yLg0ncUpBm5P03pm,NA,25368
,https://api.spotify.com/v1/artists/2M93P87MDGek6uzg7Jn7he,2M93P87MDGek6uzg7Jn7he,,Anita Bryant,28,artist,spotify:artist:2M93P87MDGek6uzg7Jn7he,https://open.spotify.com/artist/2M93P87MDGek6uzg7Jn7he,NA,3772
,https://api.spotify.com/v1/artists/2hOXOavOPsbPgls3ebJLFp,2hOXOavOPsbPgls3ebJLFp,,The Fendermen,27,artist,spotify:artist:2hOXOavOPsbPgls3ebJLFp,https://open.spotify.com/artist/2hOXOavOPsbPgls3ebJLFp,NA,1208
