artists,available_markets,disc_number,duration_ms,explicit,href,id,is_local,name,popularity,preview_url,track_number,type,uri,album.album_type,album.artists,album.available_markets,album.href,album.id,album.images,album.name,album.release_date,album.release_date_precision,album.total_tracks,album.type,album.uri,album.external_urls.spotify,external_ids.isrc,external_urls.spotify
,,1,138640,FALSE,https://api.spotify.com/v1/tracks/7DH5dXVuQaqcKf9oTy9oUN,7DH5dXVuQaqcKf9oTy9oUN,FALSE,He'll Have to Go,56,https://p.scdn.co/mp3-preview/cb5918da09fef3bd95fa2e6dff6843a9b0d12f88?cid=d450383041644584b024ce9752894d1c,15,track,spotify:track:7DH5dXVuQaqcKf9oTy9oUN,album,,,https://api.spotify.com/v1/albums/158F4r9awKr4bs7X5E49JA,158F4r9awKr4bs7X5E49JA,,The Essential Jim Reeves,1997-02-14,day,40,album,spotify:album:158F4r9awKr4bs7X5E49JA,https://open.spotify.com/album/158F4r9awKr4bs7X5E49JA,USRN19500172,https://open.spotify.com/track/7DH5dXVuQaqcKf9oTy9oUN
,,1,160026,FALSE,https://api.spotify.com/v1/tracks/60DbxCJXFG9ZryHHvUPTXG,60DbxCJXFG9ZryHHvUPTXG,FALSE,Running Bear,0,NA,10,track,spotify:track:60DbxCJXFG9ZryHHvUPTXG,compilation,,,https://api.spotify.com/v1/albums/3PB1eksjdKhdScjRsqpVKf,3PB1eksjdKhdScjRsqpVKf,,The 50's Hits Back,2007-01-01,day,15,album,spotify:album:3PB1eksjdKhdScjRsqpVKf,https://open.spotify.com/album/3PB1eksjdKhdScjRsqpVKf,USA560657706,https://open.spotify.com/track/60DbxCJXFG9ZryHHvUPTXG
,,5,157080,FALSE,https://api.spotify.com/v1/tracks/7GvhZ0F7cMBwpv7QzeGABf,7GvhZ0F7cMBwpv7QzeGABf,FALSE,Teen Angel,20,https://p.scdn.co/mp3-preview/b02fc0f86a32733dbd02e2c04e082a8b5746460b?cid=d450383041644584b024ce9752894d1c,14,track,spotify:track:7GvhZ0F7cMBwpv7QzeGABf,compilation,,,https://api.spotify.com/v1/albums/6WRu7jCqLB1hwyYGURJ6qg,6WRu7jCqLB1hwyYGURJ6qg,,The Wonderful World of the 50's - 100 Hit Songs,2008-07-29,day,100,album,spotify:album:6WRu7jCqLB1hwyYGURJ6qg,https://open.spotify.com/album/6WRu7jCqLB1hwyYGURJ6qg,USDEI7504205,https://open.spotify.com/track/7GvhZ0F7cMBwpv7QzeGABf
,,2,120973,FALSE,https://api.spotify.com/v1/tracks/0X6Nnkf4BL7rr1DRxFhcDz,0X6Nnkf4BL7rr1DRxFhcDz,FALSE,Handy Man,0,NA,7,track,spotify:track:0X6Nnkf4BL7rr1DRxFhcDz,compilation,,,https://api.spotify.com/v1/albums/4MvO5fM1slzCWGzDFtklka,4MvO5fM1slzCWGzDFtklka,,Best Of Doo Wop,2007-10-16,day,62,album,spotify:album:4MvO5fM1slzCWGzDFtklka,https://open.spotify.com/album/4MvO5fM1slzCWGzDFtklka,USA560715167,https://open.spotify.com/track/0X6Nnkf4BL7rr1DRxFhcDz
,,1,139293,FALSE,https://api.spotify.com/v1/tracks/6RLOZGYi7gTZsxtn1wX2T2,6RLOZGYi7gTZsxtn1wX2T2,FALSE,Stuck on You,0,NA,13,track,spotify:track:6RLOZGYi7gTZsxtn1wX2T2,album,,,https://api.spotify.com/v1/albums/0kpojnjqQ487UnNJXMlylU,0kpojnjqQ487UnNJXMlylU,,Elvis Is Back (Legacy Edition),1960-04-08,day,36,album,spotify:album:0kpojnjqQ487UnNJXMlylU,https://open.spotify.com/album/0kpojnjqQ487UnNJXMlylU,USRC16005826,https://open.spotify.com/track/6RLOZGYi7gTZsxtn1wX2T2
,,1,160093,FALSE,https://api.spotify.com/v1/tracks/6jdONXtmF2ZmLyRgZfwDRj,6jdONXtmF2ZmLyRgZfwDRj,FALSE,Everybody's Somebody's Fool,0,NA,7,track,spotify:track:6jdONXtmF2ZmLyRgZfwDRj,compilation,,,https://api.spotify.com/v1/albums/3B3SalHPlLiQvwftRPYXcN,3B3SalHPlLiQvwftRPYXcN,,20th Century Masters: The Millennium Collection: Best of Connie Francis,1999-01-01,day,12,album,spotify:album:3B3SalHPlLiQvwftRPYXcN,https://open.spotify.com/album/3B3SalHPlLiQvwftRPYXcN,USPR36012032,https://open.spotify.com/track/6jdONXtmF2ZmLyRgZfwDRj
,,1,183360,FALSE,https://api.spotify.com/v1/tracks/7F3R0rKXq5eYgPug8vqOdu,7F3R0rKXq5eYgPug8vqOdu,FALSE,Greenfields,36,https://p.scdn.co/mp3-preview/e6cb0e7db9edf8be4dc512a08e8dad56a673a4ac?cid=d450383041644584b024ce9752894d1c,1,track,spotify:track:7F3R0rKXq5eYgPug8vqOdu,compilation,,,https://api.spotify.com/v1/albums/7GwPhRVrz26D79zed2F8hm,7GwPhRVrz26D79zed2F8hm,,Greatest Hits,1960-07-14,day,12,album,spotify:album:7GwPhRVrz26D79zed2F8hm,https://open.spotify.com/album/7GwPhRVrz26D79zed2F8hm,USSM15900204,https://open.spotify.com/track/7F3R0rKXq5eYgPug8vqOdu
,,1,166971,FALSE,https://api.spotify.com/v1/tracks/0ZIdgRonT70YtgXBPFt1bm,0ZIdgRonT70YtgXBPFt1bm,FALSE,What In The World's Come Over You,1,https://p.scdn.co/mp3-preview/e63ce4e43110f4f4398f051da7b12922452aa37f?cid=d450383041644584b024ce9752894d1c,8,track,spotify:track:0ZIdgRonT70YtgXBPFt1bm,album,,,https://api.spotify.com/v1/albums/53T96oTPeunOepfGiSmpk8,53T96oTPeunOepfGiSmpk8,,What In The World's Come Over You?,2011-07-15,day,17,album,spotify:album:53T96oTPeunOepfGiSmpk8,https://open.spotify.com/album/53T96oTPeunOepfGiSmpk8,USESK0614501,https://open.spotify.com/track/0ZIdgRonT70YtgXBPFt1bm
,,1,259306,FALSE,https://api.spotify.com/v1/tracks/4f8hBeMXMvssn6HtFAtblo,4f8hBeMXMvssn6HtFAtblo,FALSE,El Paso,66,https://p.scdn.co/mp3-preview/35422629d976d33e66dbcffe1405a8452678d8a9?cid=d450383041644584b024ce9752894d1c,10,track,spotify:track:4f8hBeMXMvssn6HtFAtblo,album,,,https://api.spotify.com/v1/albums/3kQpBS26lAj0A0VGl1snRl,3kQpBS26lAj0A0VGl1snRl,,Gunfighter Ballads And Trail Songs,1959,year,15,album,spotify:album:3kQpBS26lAj0A0VGl1snRl,https://open.spotify.com/album/3kQpBS26lAj0A0VGl1snRl,USSM15901202,https://open.spotify.com/track/4f8hBeMXMvssn6HtFAtblo
,,1,153933,FALSE,https://api.spotify.com/v1/tracks/4xOq9yg6BOobb5zJHVoEoj,4xOq9yg6BOobb5zJHVoEoj,FALSE,My Heart Has A Mind Of Its Own,0,NA,8,track,spotify:track:4xOq9yg6BOobb5zJHVoEoj,compilation,,,https://api.spotify.com/v1/albums/3B3SalHPlLiQvwftRPYXcN,3B3SalHPlLiQvwftRPYXcN,,20th Century Masters: The Millennium Collection: Best of Connie Francis,1999-01-01,day,12,album,spotify:album:3B3SalHPlLiQvwftRPYXcN,https://open.spotify.com/album/3B3SalHPlLiQvwftRPYXcN,USF096000370,https://open.spotify.com/track/4xOq9yg6BOobb5zJHVoEoj
